County,2007,2008,2009,2010,2011,2012,2013
HOMABAY,39085,44238,48765,54751,56972,63569,70177
MERU,44818,50727,55918,62782,68068,72484,78897
NAKURU,47782,54082,59617,66934,69321,77710,85169
MAKUENI,47962,54285,59841,67185,72479,76723,83887
MACHAKOS,48280,54645,60238,67631,72459,78091,85463
MURANG'A,53247,60267,66435,74589,82391,85297,92896
BUNGOMA,53867,60969,67208,75458,78835,87557,95673
KIAMBU,58410,66111,72877,81822,89065,94682,103284
KAKAMEGA,61489,69595,76718,86135,93295,100265,109500
KISII,63499,71870,79226,88950,102580,104807,106590
